Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 84KG",72,84,45,49,F,200,157,210,562,1,"[3094,3174]",4,14
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 100KG",84,100,45,49,F,140,100,180,420,1,"[3104,3184]",4,14
"Female 3-Lift Equipped Masters 2 (45 – 49 years) 100+KG",100,500,45,49,F,170,110,190,470,1,"[3114,3194]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 48KG",1,48,50,54,F,80,50,100,235,1,"[3044,3124,3204]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 53KG",48,53,50,54,F,90,55,105,250,1,"[3054,3134,3214]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 58KG",53,58,50,54,F,95,60,115,270,1,"[3064,3144,3224]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 64KG",58,64,50,54,F,100,65,130,310,1,"[3074,3154,3234]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 72KG",64,72,50,54,F,105,70,135,315,1,"[3084,3164,3244]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 84KG",72,84,50,54,F,120,75,162,356,1,"[3094,3174,3254]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 100KG",84,100,50,54,F,135,90,160,385,1,"[3104,3184,3264]",4,14
"Female 3-Lift Equipped Masters 3 (50 – 54 years) 100+KG",100,500,50,54,F,170,105,175,425,1,"[3114,3194,3274]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 48KG",1,48,55,59,F,70,40,90,220,1,"[3044,3124,3204,3284]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 53KG",48,53,55,59,F,75,45,95,240,1,"[3054,3134,3214,3294]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 58KG",53,58,55,59,F,80,50,100,255,1,"[3064,3144,3224,3304]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 64KG",58,64,55,59,F,85,55,110,265,1,"[3074,3154,3234,3314]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 72KG",64,72,55,59,F,95,60,120,290,1,"[3084,3164,3244,3324]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 84KG",72,84,55,59,F,100,65,130,310,1,"[3094,3174,3254,3334]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 100KG",84,100,55,59,F,110,75,140,340,1,"[3104,3184,3264,3344]",4,14
"Female 3-Lift Equipped Masters 4 (55 – 59 years) 100+KG",100,500,55,59,F,120,80,160,360,1,"[3114,3194,3274,3354]",4,14
"Female 3-Lift Equipped Masters 5 (60 – 64 years) 48KG",1,48,60,64,F,65,37,85,180,1,"[3044,3124,3204,3284,3364]",4,14
"Female 3-Lift Equipped Masters 5 (60 – 64 years) 53KG",48,53,60,64,F,70,40,90,200,1,"[3054,3134,3214,3294,3374]",4,14
"Female 3-Lift Equipped Masters 5 (60 – 64 years) 58KG",53,58,60,64,F,75,45,95,220,1,"[3064,3144,3224,3304,3384]",4,14
"Female 3-Lift Equipped Masters 5 (60 – 64 years) 64KG",58,64,60,64,F,80,50,100,240,1,"[3074,3154,3234,3314,3394]",4,14
"Female 3-Lift Equipped Masters 5 (60 – 64 years) 72KG",64,72,60,64,F,85,55,110,270,1,"[3084,3164,3244,3324,3404]",4,14
"Female 3-Lift Equipped Masters 5 (60 – 64 years) 84KG",72,84,60,64,F,95,60,120,290,1,"[3094,3174,3254,3334,3414]",4,14
