Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Classic Masters 9 (80+ years) 53KG",48,53,80,200,F,0,22,0,0,1,"[""19"",""27"",""35"",""44"",""51"",""59"",""67"",""75"",""83""]",1,1
"Female Bench Only Classic Masters 9 (80+ years) 58KG",53,58,80,200,F,0,26,0,0,1,"[""19"",""27"",""35"",""43"",""51"",""59"",""67"",""75"",""83""]",1,1
"Female Bench Only Classic Masters 9 (80+ years) 64KG",58,64,80,200,F,0,30,0,0,1,"[""20"",""28"",""36"",""44"",""52"",""60"",""68"",""76"",""84""]",1,1
"Female Bench Only Classic Masters 9 (80+ years) 72KG",64,72,80,200,F,0,35,0,0,1,"[""21"",""29"",""37"",""45"",""53"",""61"",""69"",""77"",""85""]",1,1
"Female Bench Only Classic Masters 9 (80+ years) 84KG",72,84,80,200,F,0,37,0,0,1,"[""22"",""30"",""38"",""46"",""54"",""62"",""70"",""77"",""86""]",1,1
"Female Bench Only Classic Masters 9 (80+ years) 100KG",84,100,80,200,F,0,40,0,1,1,"[""23"",""31"",""39"",""47"",""55"",""63"",""71"",""79"",""87""]",1,1
"Female Bench Only Classic Masters 9 (80+ years) 100+KG",100,500,80,200,F,0,43,0,0,1,"[""24"",""32"",""40"",""48"",""56"",""64"",""72"",""80"",""88""]",1,1
"Female Bench Only Equipped Youth (14 – 18 years) 48KG",1,48,14,18,F,0,40,0,0,1,"[""113""]",1,2
"Female Bench Only Equipped Youth (14 – 18 years) 53KG",48,53,14,18,F,0,45,0,0,1,"[""114""]",1,2
"Female Bench Only Equipped Youth (14 – 18 years) 58KG",53,58,14,18,F,0,50,0,0,1,"[""115""]",1,2
"Female Bench Only Equipped Youth (14 – 18 years) 64KG",58,64,14,18,F,0,55,0,0,1,"[""116""]",1,2
"Female Bench Only Equipped Youth (14 – 18 years) 72KG",64,72,14,18,F,0,60,0,0,1,"[""117""]",1,2
"Female Bench Only Equipped Youth (14 – 18 years) 84KG",72,84,14,18,F,0,65,0,0,1,"[""118""]",1,2
"Female Bench Only Equipped Youth (14 – 18 years) 100KG",84,100,14,18,F,0,70,0,0,1,"[""119""]",1,2
"Female Bench Only Equipped Youth (14 – 18 years) 100+KG",100,500,14,18,F,0,80,0,0,1,"[""120""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 48KG",1,48,19,23,F,0,55,0,0,1,"[""113""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 53KG",48,53,19,23,F,0,60,0,0,1,"[""114""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 58KG",53,58,19,23,F,0,65,0,0,1,"[""115""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 64KG",58,64,19,23,F,0,70,0,0,1,"[""116""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 72KG",64,72,19,23,F,0,75,0,0,1,"[""117""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 84KG",72,84,19,23,F,0,80,0,0,1,"[""118""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 100KG",84,100,19,23,F,0,85,0,0,1,"[""119""]",1,2
"Female Bench Only Equipped Junior (19 – 23 years) 100+KG",100,500,19,23,F,0,90,0,0,1,"[""120""]",1,2
"Female Bench Only Equipped Open (24 – 39 years) 48KG",1,48,24,39,F,0,60,0,0,1,,1,2
"Female Bench Only Equipped Open (24 – 39 years) 53KG",48,53,24,39,F,0,70,0,0,1,,1,2
"Female Bench Only Equipped Open (24 – 39 years) 58KG",53,58,24,39,F,0,80,0,0,1,,1,2
"Female Bench Only Equipped Open (24 – 39 years) 64KG",58,64,24,39,F,0,90,0,0,1,,1,2
"Female Bench Only Equipped Open (24 – 39 years) 72KG",64,72,24,39,F,0,100,0,0,1,,1,2
"Female Bench Only Equipped Open (24 – 39 years) 84KG",72,84,24,39,F,0,107,0,0,1,,1,2
"Female Bench Only Equipped Open (24 – 39 years) 100KG",84,100,24,39,F,0,150,0,0,1,,1,2
"Female Bench Only Equipped Open (24 – 39 years) 100+KG",100,500,24,39,F,0,125,0,0,1,,1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 48KG",1,48,40,44,F,0,55,0,0,1,"[""113""]",1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 53KG",48,53,40,44,F,0,60,0,0,1,"[""114""]",1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 58KG",53,58,40,44,F,0,65,0,0,1,"[""115""]",1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 64KG",58,64,40,44,F,0,70,0,0,1,"[""116""]",1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 72KG",64,72,40,44,F,0,75,0,0,1,"[""117""]",1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 84KG",72,84,40,44,F,0,150,0,0,1,"[""118""]",1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 100KG",84,100,40,44,F,0,85,0,0,1,"[""119""]",1,2
"Female Bench Only Equipped Masters 1 (40 – 44 years) 100+KG",100,500,40,44,F,0,90,0,0,1,"[""120""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 48KG",1,48,45,49,F,0,50,0,0,1,"[""113"",""121""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 53KG",48,53,45,49,F,0,55,0,0,1,"[""114"",""122""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 58KG",53,58,45,49,F,0,60,0,0,1,"[""115"",""123""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 64KG",58,64,45,49,F,0,65,0,0,1,"[""116"",""124""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 72KG",64,72,45,49,F,0,70,0,0,1,"[""117"",""125""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 84KG",72,84,45,49,F,0,150,0,0,1,"[""118"",""126""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 100KG",84,100,45,49,F,0,80,0,0,1,"[""119"",""127""]",1,2
"Female Bench Only Equipped Masters 2 (45 – 49 years) 100+KG",100,500,45,49,F,0,85,0,0,1,"[""120"",""128""]",1,2
"Female Bench Only Equipped Masters 3 (50 – 54 years) 48KG",1,48,50,54,F,0,47,0,0,1,"[""113"",""121"",""129""]",1,2
"Female Bench Only Equipped Masters 3 (50 – 54 years) 53KG",48,53,50,54,F,0,52,0,0,1,"[""114"",""122"",""130""]",1,2
